weighting,technology_group,country,weight,unit,source_year,scenario,source_dataset,source_url,nodes
solar_tyndp2024_pemmdb_nt2040,solar,Switzerland,24071.130974802378,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CH00
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Austria,8771.195496152182,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,AT00
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Belgium,3126.3064000000013,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,BE00+BEOF
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Czechia,3926.7,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CZ00
storage_total_tyndp2024_pemmdb_nt2040,storage_total,France,10020.137254901962,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,FR00+FR15
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Germany,120535.97,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,DE00+DEKF
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Italy,34698.658,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ITA00+ITCA+ITCN+ITCS+ITN1+ITS1+ITSA+ITSI
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Luxembourg,1360.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,LUB1+LUF1+LUG1+LUV1
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Netherlands,30817.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,NL00+NL60+NL6H+NLA0+NLBH+NLLL
storage_total_tyndp2024_pemmdb_nt2040,storage_total,Poland,1549.61,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,PL00
